created_at,channel_id,id,author,content
2025-04-27 23:41:42.114000+00:00,1366164279132422164,1366197648444625006,th_rt_en,"Sunday Day (depending on availability)
Room: (we steal one in the spot)
Time: 8:30 onwards 🫡"
2025-04-27 23:41:24.617000+00:00,1366164279132422164,1366197575056752671,th_rt_en,"Thursday 5:30 -> 7:30+
Room: REDMOND BARY 616
Notes: TBD"
2025-04-27 23:41:21.091000+00:00,1366164279132422164,1366197560267640946,th_rt_en,"Wednseday 5:30 -> 7:30+
Room: SYDNY MYER 118
Notes: TBD"
2025-04-27 23:41:15.960000+00:00,1366164279132422164,1366197538746662983,th_rt_en,"Tuesday 5:30 -> 7:30+
Room: Redmond Bary 616
Notes: worked on memory, no meeting"
2025-04-27 23:40:49.460000+00:00,1366164279132422164,1366197427597738004,th_rt_en,"# Week 8
@everyone
==="
